quantidade_pedido;data_pedido
0.0;2017-06-19 08:01:25
0.0;2017-06-19 08:01:50
0.0;2017-06-19 08:02:16
0.0;2017-06-19 08:03:13
2.0;2017-06-19 08:04:10
0.0;2017-06-19 08:04:14
0.0;2017-06-19 08:04:14
1.0;2017-06-19 08:05:00
0.0;2017-06-19 08:05:32
1.0;2017-06-19 08:06:02
0.0;2017-06-19 08:52:18
0.0;2017-06-19 08:52:51
2.0;2017-06-19 08:52:55
0.0;2017-06-19 08:54:54
0.0;2017-06-19 08:55:02
0.0;2017-06-19 08:55:34
0.0;2017-06-19 08:55:44
0.0;2017-06-19 08:56:04
0.0;2017-06-19 08:56:22
0.0;2017-06-19 08:56:22
0.0;2017-06-19 08:57:13
0.0;2017-06-19 08:57:14
0.0;2017-06-19 08:57:25
0.0;2017-06-19 08:57:31
0.0;2017-06-19 08:57:40
0.0;2017-06-19 08:57:49
0.0;2017-06-19 08:57:50
0.0;2017-06-19 08:58:10
0.0;2017-06-19 08:58:14
0.0;2017-06-19 08:58:55
1.0;2017-06-19 08:59:11
0.0;2017-06-19 08:59:59
0.0;2017-06-19 09:00:01
0.0;2014-09-11 10:30:10
0.0;2014-09-11 10:30:56
3.0;2014-09-11 10:30:59
2.0;2014-09-11 10:31:38
3.0;2014-09-11 10:31:58
0.0;2014-09-11 10:32:07
1.0;2014-09-11 10:38:08
1.0;2014-09-11 10:38:48
0.0;2014-09-11 10:42:48
0.0;2014-09-11 10:43:03
1.0;2014-09-11 10:43:06
2.0;2014-09-11 10:43:20
0.0;2014-09-11 10:44:42
0.0;2014-09-11 10:45:47
0.0;2014-09-11 10:46:22
2.0;2014-09-11 10:47:11
0.0;2014-09-11 10:47:18
1.0;2014-09-11 10:54:04
0.0;2014-09-11 10:55:28
3.0;2014-09-11 10:56:43
0.0;2014-09-11 10:56:46
0.0;2014-09-11 10:56:58
0.0;2014-09-11 10:57:28
0.0;2014-09-11 10:57:29
1.0;2014-09-11 10:58:12
1.0;2014-09-11 10:58:36
0.0;2014-09-11 10:58:40
3.0;2014-09-11 10:58:44
1.0;2014-09-11 10:59:20
1.0;2014-09-11 11:00:52
1.0;2014-09-11 11:01:07
1.0;2014-09-11 11:01:47
3.0;2014-09-11 11:02:35
1.0;2014-09-11 11:03:21
0.0;2014-09-11 11:03:34
0.0;2014-09-15 13:16:34
1.0;2014-09-15 13:16:39
0.0;2014-09-15 13:18:10
0.0;2014-09-15 13:26:04
2.0;2014-09-15 13:26:56
0.0;2014-09-15 13:27:03
0.0;2014-09-15 13:27:33
0.0;2014-09-15 13:29:38
0.0;2014-09-15 13:30:28
0.0;2014-09-15 13:31:15
0.0;2014-09-15 13:32:00
2.0;2014-09-15 13:33:26
1.0;2014-09-15 13:34:05
1.0;2014-09-15 13:35:00
1.0;2014-09-15 13:35:34
1.0;2014-09-15 13:45:50
0.0;2014-09-15 13:46:46
0.0;2014-09-15 13:46:52
1.0;2014-09-15 13:46:57
5.0;2014-09-15 13:47:33
0.0;2014-09-15 13:48:16
0.0;2014-09-15 13:49:11
3.0;2014-09-15 13:49:15
1.0;2014-09-15 13:49:16
3.0;2014-09-15 13:49:54
0.0;2014-09-15 13:49:59
0.0;2014-09-15 13:51:27
0.0;2014-09-15 13:51:28
0.0;2014-09-15 13:51:40
0.0;2014-09-15 13:51:52
0.0;2014-09-15 13:53:07
1.0;2014-09-15 13:54:25
3.0;2014-09-15 13:55:34
0.0;2014-09-19 16:16:38
0.0;2014-09-19 16:16:57
4.0;2014-09-19 16:17:57
0.0;2014-09-19 16:19:10
0.0;2014-09-19 16:19:35
0.0;2014-09-19 16:20:23
1.0;2014-09-19 16:21:01
1.0;2014-09-19 16:21:46
0.0;2014-09-19 16:22:02
2.0;2014-09-19 16:22:09
1.0;2014-09-19 16:22:11
0.0;2014-09-19 16:22:21
0.0;2014-09-19 16:23:38
0.0;2014-09-19 16:23:41
0.0;2014-09-19 16:25:39
1.0;2014-09-19 16:26:23
0.0;2014-09-19 16:28:10
4.0;2014-09-19 16:28:39
0.0;2014-09-19 16:28:54
1.0;2014-09-19 16:29:12
1.0;2014-09-19 16:30:36
9.0;2014-09-19 16:31:54
0.0;2014-09-19 16:33:12
0.0;2014-09-19 16:33:18
3.0;2014-09-19 16:33:28
0.0;2014-09-19 16:34:45
4.0;2014-09-19 16:35:24
1.0;2014-09-19 16:35:47
1.0;2014-09-19 16:37:00
0.0;2014-09-19 16:37:09
0.0;2014-09-19 16:41:20
0.0;2014-09-19 16:42:39
0.0;2014-09-19 16:42:51
0.0;2014-09-19 16:43:31
0.0;2014-09-19 16:43:49
2.0;2014-09-19 16:43:54
0.0;2014-09-19 16:44:35
1.0;2014-09-19 16:44:40
0.0;2014-09-19 16:45:19
0.0;2014-09-25 13:28:38
0.0;2014-09-25 13:28:40
2.0;2014-09-25 13:28:44
1.0;2014-09-25 13:29:55
0.0;2014-09-25 13:32:21
1.0;2014-09-25 13:32:40
